"","daytime_pop","daytime_density","travel_to","DP0010001","brewery","cafe","medinc","b_hs","hs","phd","oldpop","youngpop","dist1","dist2","dist3","dist4","zone","hood"
"4502",5058,1636.055585781,3139,5059,0,0,66455,0,43.5,23.7,4384,531,0,1,1,1,"Residential Single Family 5000","Southeast Magnolia"
"4503",4510,883.043700873352,1582,6001,0,0,102760,7.7,29.7,28.2,4906,222,0,0,0,0,"General Industrial 1",NA
"4504",5976,3357.9126998888,4369,4743,0,0,69865,6,43.1,16,3836,497,0,0,2,2,"General Industrial 2","Interbay"
"4505",5976,3357.9126998888,4369,4743,0,0,69865,6,43.1,16,3836,497,0,0,2,3,"General Industrial 1","Interbay"
"4506",4510,883.043700873352,1582,6001,0,0,102760,7.7,29.7,28.2,4906,222,0,1,3,3,"Residential Single Family 5000","Southeast Magnolia"
"4507",4510,883.043700873352,1582,6001,0,0,102760,7.7,29.7,28.2,4906,222,0,0,0,0,"Residential Single Family 7200","Lawton Park"
"4508",4510,883.043700873352,1582,6001,0,0,102760,7.7,29.7,28.2,4906,222,0,0,1,1,"Residential Single Family 7200","Lawton Park"
"4509",4549,1499.87075195982,814,6382,0,0,159652,0,28.5,37.2,4969,256,0,1,3,7,"Residential Single Family 5000","Briarcliff"
"4510",4510,883.043700873352,1582,6001,0,0,102760,7.7,29.7,28.2,4906,222,0,0,1,1,"Residential Single Family 7200","Lawton Park"
"4511",5976,3357.9126998888,4369,4743,0,0,69865,6,43.1,16,3836,497,0,0,0,0,"Residential Single Family 5000","Lawton Park"
"4512",4510,883.043700873352,1582,6001,0,0,102760,7.7,29.7,28.2,4906,222,0,0,0,0,"Residential Single Family 7200","Lawton Park"
"4513",4549,1499.87075195982,814,6382,0,0,159652,0,28.5,37.2,4969,256,0,0,1,1,"Residential Single Family 5000","Briarcliff"
"4514",4510,883.043700873352,1582,6001,0,0,102760,7.7,29.7,28.2,4906,222,1,1,1,4,"Residential Single Family 5000","Southeast Magnolia"
"4515",5976,3357.9126998888,4369,4743,0,0,69865,6,43.1,16,3836,497,0,0,0,0,"Residential Single Family 5000","Lawton Park"
"4516",4549,1499.87075195982,814,6382,0,0,159652,0,28.5,37.2,4969,256,0,3,3,3,"Residential Single Family 7200","Briarcliff"
"4517",4510,883.043700873352,1582,6001,0,0,102760,7.7,29.7,28.2,4906,222,0,1,1,1,"Residential Single Family 7200","Lawton Park"
"4518",4549,1499.87075195982,814,6382,0,0,159652,0,28.5,37.2,4969,256,0,0,1,5,"Residential Single Family 5000","Interbay"
"4519",4510,883.043700873352,1582,6001,0,0,102760,7.7,29.7,28.2,4906,222,0,4,4,5,"Residential Single Family 7200","Lawton Park"
"4520",4510,883.043700873352,1582,6001,0,0,102760,7.7,29.7,28.2,4906,222,0,2,2,2,"Residential Single Family 7200","Lawton Park"
"4521",5976,3357.9126998888,4369,4743,0,0,69865,6,43.1,16,3836,497,0,0,0,3,"General Industrial 1","Interbay"
"4522",5976,3357.9126998888,4369,4743,0,0,69865,6,43.1,16,3836,497,0,0,0,2,"Residential Single Family 5000","Lawton Park"
"4523",4549,1499.87075195982,814,6382,0,0,159652,0,28.5,37.2,4969,256,0,0,2,4,"Residential Single Family 7200","Briarcliff"
"4524",4549,1499.87075195982,814,6382,0,0,159652,0,28.5,37.2,4969,256,0,0,1,1,"Commercial 2","Interbay"
"4525",4549,1499.87075195982,814,6382,0,0,159652,0,28.5,37.2,4969,256,0,0,0,2,"Residential Single Family 7200","Briarcliff"
"4526",4549,1499.87075195982,814,6382,0,0,159652,0,28.5,37.2,4969,256,2,2,3,4,"Residential Single Family 5000","Briarcliff"
